StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q13,Q14,Q16,Q5,Q4,Q4_4_TEXT,Q3,Q2,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q35,Q10,Q39,Q40,Q45,Q9,Q37,Q38,SC0,SC1,SC2
2020-02-21 08:16:31,2020-02-21 08:27:57,0,100,686,1,2020-02-21 08:27:57,R_4TpPVUpZR797Mel,anonymous,EN-GB,8,1,1,19,2,,6,4,0,0,321.265,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,6,3,,,,,-9,11,2
2020-02-21 08:16:41,2020-02-21 09:08:28,0,100,3106,1,2020-02-21 09:08:28,R_3PbmGrHQTiBFPC6,anonymous,EN-GB,10,2,1,18,2,,7,5,0,0,302.464,0,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,,,,no,2,5,5,7,3,10
2020-02-21 09:38:04,2020-02-21 09:51:43,0,100,819,1,2020-02-21 09:51:43,R_3L1fjPZcGJiFwnL,anonymous,EN-GB,11,2,1,20,2,,9,8,0,0,320.626,0,1,2,1,1,1,2,2,1,2,1,1,2,1,1,1,,,,"I have taken part in studies similar, both through 2nd-year coursemates and other EMS studies",2,6,7,-3,8,5
2020-02-24 08:18:09,2020-02-24 08:32:07,0,100,838,1,2020-02-24 08:32:08,R_3OfaHLFtRsXcmBb,anonymous,EN-GB,12,1,1,18,2,,6,8,0,0,377.589,0,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,7,7,no,,,,-3,8,5
2020-02-24 08:21:44,2020-02-24 08:32:27,0,100,642,1,2020-02-24 08:32:27,R_AoMXZXf2D9wIboR,anonymous,EN-GB,14,2,1,20,2,,4,3,0,0,322.802,0,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,,,,,2,6,7,-5,9,4
2020-02-24 08:20:44,2020-02-24 08:34:36,0,100,831,1,2020-02-24 08:34:36,R_2Bfyp6TU3OEXzyX,anonymous,EN-GB,13,1,1,19,2,,7,6,0,0,476.634,0,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,8,7,,,,,-5,9,4
2020-02-24 08:23:15,2020-02-24 08:35:48,0,100,753,1,2020-02-24 08:35:48,R_2VHNGZqbpomzR4c,anonymous,EN-GB,15,1,1,19,2,,9,3,0,0,321.773,0,1,2,2,1,1,2,2,1,2,1,1,2,1,2,2,2,6,5,I did not take part,,,,1,6,7
2020-02-24 08:52:29,2020-02-24 09:10:57,0,100,1108,1,2020-02-24 09:10:57,R_PM02cpBgsIDtWPD,anonymous,EN-GB,16,2,1,20,2,,8,2,0,0,363.307,0,1,2,2,1,2,1,2,1,2,2,1,1,2,1,2,,,,"Nope, am a first year",1,6,6,1,6,7
2020-02-24 08:56:27,2020-02-24 09:50:33,0,100,3245,1,2020-02-24 09:50:33,R_31pxEN87vJeFwGd,anonymous,EN-GB,17,1,1,19,2,,4,6,0,0,318.814,0,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,5,5,I was in Richard Morey's second year practical and was aware of this task,,,,-3,8,5
2020-02-28 07:53:24,2020-02-28 08:04:30,0,100,666,1,2020-02-28 08:04:31,R_poUgjXqaEkSCIkV,anonymous,EN-GB,18,1,1,19,2,,3,1,0,0,345.151,0,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,5,5,no,,,,3,5,8
2020-03-02 04:24:12,2020-03-02 04:38:55,0,100,882,1,2020-03-02 04:38:55,R_2TpAsxvxLUThMI6,anonymous,EN-GB,19,1,1,21,2,,7,3,288.18,288.18,304.628,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,1,2,4,7,I weren't in the practical,,,,-3,8,5
2020-03-02 05:12:17,2020-03-02 05:25:40,0,100,803,1,2020-03-02 05:25:41,R_1Ij75eH7lTQV2YO,anonymous,EN-GB,20,1,1,20,2,,9,7,0,0,330.58,0,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,5,5,,,,,-1,7,6
2020-03-02 05:26:09,2020-03-02 05:36:24,0,100,614,1,2020-03-02 05:36:24,R_1GCv4EaMDGGebCY,anonymous,EN-GB,21,1,1,20,2,,7,4,0,0,302.649,0,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,5,5,,,,,3,5,8
2020-03-02 05:45:02,2020-03-02 05:58:12,0,100,790,1,2020-03-02 05:58:12,R_2Vsx0y20fiyHbtR,anonymous,EN-GB,22,1,1,20,2,,8,4,0,0,302.317,0,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,3,6,nope,,,,1,6,7
2020-03-02 07:03:22,2020-03-02 07:12:19,0,100,536,1,2020-03-02 07:12:19,R_VO3o9XMxXxUnJAt,anonymous,EN-GB,23,2,1,19,2,,6,3,0,0,307.141,0,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,,,,,1,7,4,-5,9,4
2020-03-03 04:19:43,2020-03-03 04:30:13,0,100,629,1,2020-03-03 04:30:13,R_2YKFpzBsnOU0jeo,anonymous,EN-GB,24,2,1,19,2,,5,6,0,0,307.755,0,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,,,,no,2,7,7,-3,8,5
2020-03-03 04:45:22,2020-03-03 05:08:49,0,100,1407,1,2020-03-03 05:08:49,R_6tJcY3wxS8TOgGB,anonymous,EN-GB,25,2,1,18,1,,9,6,0,0,309.795,0,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,,,,,2,4,7,-3,8,5
2020-03-04 02:12:09,2020-03-04 05:07:01,0,100,10491,1,2020-03-04 05:07:01,R_3DbgVBGh3KWtVrh,anonymous,EN-GB,26,2,1,20,2,,6,4,0,0,318.761,0,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,,,,No,1,6,6,-5,9,4
2020-03-04 05:10:01,2020-03-04 05:24:52,0,100,891,1,2020-03-04 05:24:52,R_1g73XojnNaGhqUL,anonymous,EN-GB,27,2,1,18,2,,6,7,0,0,380.955,0,1,2,2,1,2,1,2,2,1,1,1,2,2,1,2,,,,,1,4,5,1,6,7
2020-03-04 06:28:09,2020-03-04 06:39:48,0,100,698,1,2020-03-04 06:39:48,R_2V9I4oDeGZOyW5J,anonymous,EN-GB,28,1,1,20,1,,7,7,0,0,319.471,0,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,6,4,n/a,,,,3,5,8
2020-03-04 06:42:31,2020-03-04 06:58:24,0,100,953,1,2020-03-04 06:58:25,R_3j9zbWyzcATJ3Z6,anonymous,EN-GB,29,2,1,19,1,,8,5,0,0,338.152,0,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,,,,No,2,6,6,-5,9,4
2020-03-04 07:43:13,2020-03-04 07:54:08,0,100,655,1,2020-03-04 07:54:09,R_ByuirWylkoErGnf,anonymous,EN-GB,30,2,1,20,2,,9,6,0,0,340.384,0,1,2,2,2,1,1,2,1,2,1,2,2,1,1,2,,,,no,1,5,6,1,6,7
2020-03-04 09:05:57,2020-03-04 09:18:15,0,100,737,1,2020-03-04 09:18:15,R_1CyIelRHzFORi7t,anonymous,EN-GB,31,1,1,22,2,,7,6,0,0,308.084,0,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,5,5,not that i can remember,,,,-1,7,6
2020-03-04 09:40:38,2020-03-04 09:56:48,0,100,970,1,2020-03-04 09:56:49,R_32W6Jdbe8zMyqdK,anonymous,EN-GB,32,2,1,31,1,,6,3,0,0,322.767,0,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,,,,no,2,6,7,-3,8,5
2020-03-05 04:55:24,2020-03-05 05:08:32,0,100,787,1,2020-03-05 05:08:32,R_10Z7Lty8ZpkBzgA,anonymous,EN-GB,33,1,1,18,2,,7,8,0,0,319.542,0,1,2,2,1,2,1,1,1,2,1,1,2,1,2,1,2,9,9,no,,,,-1,7,6
2020-03-05 05:10:00,2020-03-05 05:25:50,0,100,949,1,2020-03-05 05:25:50,R_32MbFNWlQC9dO2n,anonymous,EN-GB,34,2,1,20,2,,7,3,259.46,259.46,334.918,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,,,,,2,5,6,3,5,8
2020-03-05 05:45:15,2020-03-05 06:39:57,0,100,3282,1,2020-03-05 06:39:58,R_28BdOlzH9xzp1Sj,anonymous,EN-GB,35,2,1,18,2,,4,3,0,0,330.799,0,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,,,,no,1,6,6,-3,8,5
2020-03-06 07:51:21,2020-03-06 08:03:52,0,100,750,1,2020-03-06 08:03:52,R_22Vo6RgeEqKvF7R,anonymous,EN-GB,36,1,1,20,2,,9,6,0,0,334.307,0,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,1,7,8,No,,,,-1,7,6
2020-03-06 08:05:12,2020-03-06 08:32:23,0,100,1630,1,2020-03-06 08:32:23,R_3MxH26CFQIZEHwL,anonymous,EN-GB,37,2,1,19,2,,6,4,0,0,304.479,0,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,,,,no,2,3,6,-3,8,5
2020-03-09 06:46:53,2020-03-09 06:57:33,0,100,640,1,2020-03-09 06:57:34,R_3lLitusxD3TRFHG,anonymous,EN-GB,38,1,1,19,1,,9,8,0,0,309.839,0,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,6,4,no,,,,-1,7,6
2020-03-09 08:39:20,2020-03-09 08:54:04,0,100,884,1,2020-03-09 08:54:04,R_yQ1fc6brDP96NTr,anonymous,EN-GB,39,2,1,18,2,,6,5,0,0,302.853,0,1,2,2,1,2,1,2,2,1,2,1,1,2,1,2,,,,,1,8,3,1,6,7
2020-03-10 03:31:06,2020-03-10 04:24:48,0,100,3222,1,2020-03-10 04:24:48,R_1KqMAmmI57fyh89,anonymous,EN-GB,40,2,1,20,2,,7,3,0,0,318.048,0,1,2,2,1,1,1,1,1,2,2,2,2,1,2,2,,,,no,1,8,3,1,6,7
2020-03-10 04:26:03,2020-03-10 06:54:42,0,100,8918,1,2020-03-10 06:54:42,R_2TmIUN34cNraCSd,anonymous,EN-GB,41,2,1,20,2,,5,6,252.903,252.903,315.56,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,,,,no,1,7,3,-1,7,6
2020-03-10 06:58:29,2020-03-11 04:48:25,0,100,78596,1,2020-03-11 04:48:26,R_3ir40eS8TmLCJqV,anonymous,EN-GB,42,1,1,20,2,,9,7,333.405,333.405,333.782,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,3,6,no,,,,-1,7,6
2020-03-11 04:49:17,2020-03-11 05:39:55,0,100,3038,1,2020-03-11 05:39:55,R_3qIndOaPvhLITSn,anonymous,EN-GB,43,1,1,19,1,,4,6,0,0,329.339,0,1,2,2,2,1,1,,1,2,2,1,2,1,2,2,1,2,8,no,,,,2,5,7
2020-03-11 05:45:03,2020-03-11 06:00:17,0,100,913,1,2020-03-11 06:00:17,R_73uuLoSXjVWXUYx,anonymous,EN-GB,44,2,1,22,2,,2,3,0,0,374.667,0,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,,,,No,2,3,7,-1,7,6
2020-03-11 08:27:51,2020-03-11 08:37:46,0,100,595,1,2020-03-11 08:37:47,R_2YP0ryuUeOXnCZO,anonymous,EN-GB,45,2,1,21,2,,3,3,241.941,275.74,301.398,10,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,,,,,2,7,7,-1,7,6
2020-03-12 05:32:45,2020-03-12 05:42:58,0,100,612,1,2020-03-12 05:42:59,R_12SlS3LyJe4yLjB,anonymous,EN-GB,46,2,1,20,2,,8,5,0,0,331.342,0,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,,,,no,1,5,5,-3,8,5
2020-03-16 06:24:42,2020-03-16 06:35:08,0,100,626,1,2020-03-16 06:35:08,R_3PZiE3Flc7Z6tnD,anonymous,EN-GB,47,1,1,21,2,,5,5,0,0,320.681,0,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,6,4,,,,,-5,9,4
2020-03-16 09:01:03,2020-03-16 09:12:30,0,100,686,1,2020-03-16 09:12:30,R_2vdXkNZ8KfnCxCD,anonymous,EN-GB,48,1,1,23,1,,7,2,0,0,396.53,0,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,6,7,no,,,,7,3,10
2020-03-17 03:17:03,2020-03-17 03:27:06,0,100,603,1,2020-03-17 03:27:07,R_1OO9VAQq61UguKe,anonymous,EN-GB,49,2,1,18,1,,8,2,303.95,303.95,305.878,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,1,,,,No.,2,9,7,-1,7,6
2020-03-17 10:00:48,2020-03-17 10:15:42,0,100,894,1,2020-03-17 10:15:43,R_2xzxUbhTAUjAJxa,anonymous,EN-GB,51,1,1,21,2,,9,6,234.245,234.756,342.971,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,7,6,,,,,1,6,7
2020-03-17 10:00:26,2020-03-17 10:15:52,0,100,926,1,2020-03-17 10:15:52,R_9o5PFS2oiOAvZ85,anonymous,EN-GB,50,1,1,23,2,,8,4,289.062,289.062,305.355,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,6,7,"Yes, I was in a practical group with Richard Morey in 2nd year.",,,,3,5,8
